condition,distance,run,k,alpha,freeze,events,detected,trigger_snr,peak_ratio,noise_floor
mitigated,10mm,1,3.0,0.0003,2.0,1,1,3.004,631.9028,0.0001006581
mitigated,10mm,2,3.0,0.0003,2.0,1,1,3.005,424.4809,0.0001288004
mitigated,10mm,3,3.0,0.0003,2.0,1,1,3.026,486.8534,0.0001345992
mitigated,30mm,1,3.0,0.0003,2.0,1,1,3.019,721.0734,0.0001095587
mitigated,30mm,2,3.0,0.0003,2.0,1,1,3.004,285.7939,0.0001444848
mitigated,30mm,3,3.0,0.0003,2.0,1,1,3.03,422.7502,0.0001309421
mitigated,50mm,1,3.0,0.0003,2.0,1,1,3.026,346.9692,0.0001358011
mitigated,50mm,2,3.0,0.0003,2.0,1,1,3.066,181.7053,0.0001452519
mitigated,50mm,3,3.0,0.0003,2.0,1,1,3.027,346.9991,0.0001357957
mitigated,10mm,1,3.0,0.0001,2.0,1,1,3.037,638.832,0.0001018009
mitigated,10mm,2,3.0,0.0001,2.0,1,1,3.029,462.5022,0.0001213673
mitigated,10mm,3,3.0,0.0001,2.0,1,1,3.035,505.6181,0.0001260743
mitigated,30mm,1,3.0,0.0001,2.0,1,1,3.008,764.5552,0.0001161126
mitigated,30mm,2,3.0,0.0001,2.0,1,1,3.001,249.0058,0.0001480918
mitigated,30mm,3,3.0,0.0001,2.0,1,1,3.032,417.3298,0.0001294655
mitigated,50mm,1,3.0,0.0001,2.0,1,1,3.052,335.9646,0.0001444738
mitigated,50mm,2,3.0,0.0001,2.0,1,1,3.005,184.2225,0.0001486727
mitigated,50mm,3,3.0,0.0001,2.0,1,1,3.053,336.0199,0.0001444744
mitigated,10mm,1,3.0,3e-05,2.0,1,1,3.008,559.5052,0.0001111703
mitigated,10mm,2,3.0,3e-05,2.0,4,1,3.519,849.6301,6.729214e-05
mitigated,10mm,3,3.0,3e-05,2.0,2,1,3.002,826.2623,8.463401e-05
mitigated,30mm,1,3.0,3e-05,2.0,1,1,3.012,927.3502,0.0001145517
mitigated,30mm,2,3.0,3e-05,2.0,1,1,3.001,220.7955,0.0001547275
mitigated,30mm,3,3.0,3e-05,2.0,2,1,3.002,688.5024,9.421431e-05
mitigated,50mm,1,3.0,3e-05,2.0,1,1,3.038,269.1047,0.0001650795
mitigated,50mm,2,3.0,3e-05,2.0,3,1,3.0,311.7297,9.01334e-05
mitigated,50mm,3,3.0,3e-05,2.0,1,1,3.047,269.87,0.0001648812
mitigated,10mm,1,3.0,1e-05,2.0,1,1,3.024,436.7787,0.0001444681
mitigated,10mm,2,3.0,1e-05,2.0,4,1,5.84,1410.1392,4.101336e-05
mitigated,10mm,3,3.0,1e-05,2.0,4,1,3.754,1191.0569,5.859749e-05
mitigated,30mm,1,3.0,1e-05,2.0,1,1,3.003,951.5116,0.0001087018
mitigated,30mm,2,3.0,1e-05,2.0,1,1,3.003,192.6784,0.0001773275
mitigated,30mm,3,3.0,1e-05,2.0,4,1,4.418,1042.7868,6.073624e-05
mitigated,50mm,1,3.0,1e-05,2.0,1,1,3.048,189.8896,0.0002398071
mitigated,50mm,2,3.0,1e-05,2.0,4,1,3.004,500.5506,5.613271e-05
mitigated,50mm,3,3.0,1e-05,2.0,1,1,3.016,191.0466,0.000238618
mitigated,10mm,1,4.0,0.01,2.0,1,1,4.006,256.3288,2.218052e-05
mitigated,10mm,2,4.0,0.01,2.0,1,1,4.01,290.3065,0.0002354532
mitigated,10mm,3,4.0,0.01,2.0,1,1,4.037,1155.704,0.0002213866
mitigated,30mm,1,4.0,0.01,2.0,1,1,4.008,33.0552,0.0001642997
mitigated,30mm,2,4.0,0.01,2.0,0,0,0.0,1.7018,0.0002049652
mitigated,30mm,3,4.0,0.01,2.0,1,1,4.046,1030.8095,0.0002189019
mitigated,50mm,1,4.0,0.01,2.0,1,1,4.035,251.3314,9.832622e-05
mitigated,50mm,2,4.0,0.01,2.0,1,1,4.02,83.7529,4.884314e-05
mitigated,50mm,3,4.0,0.01,2.0,1,1,4.035,251.3126,9.82854e-05
mitigated,10mm,1,4.0,0.003,2.0,1,1,4.035,416.7124,4.550608e-05
mitigated,10mm,2,4.0,0.003,2.0,1,1,4.035,351.6192,0.0001871863
mitigated,10mm,3,4.0,0.003,2.0,1,1,4.089,635.649,0.0001993935
mitigated,30mm,1,4.0,0.003,2.0,1,1,4.011,398.0109,0.0001265139
mitigated,30mm,2,4.0,0.003,2.0,1,1,4.009,540.029,0.0001553822
mitigated,30mm,3,4.0,0.003,2.0,1,1,4.011,625.6343,0.0001786711
mitigated,50mm,1,4.0,0.003,2.0,1,1,4.007,560.0489,8.373034e-05
mitigated,50mm,2,4.0,0.003,2.0,1,1,4.019,116.7712,9.231315e-05
mitigated,50mm,3,4.0,0.003,2.0,1,1,4.008,560.0736,8.370557e-05
mitigated,10mm,1,4.0,0.001,2.0,1,1,4.014,579.9126,8.584209e-05
mitigated,10mm,2,4.0,0.001,2.0,1,1,4.033,375.2342,0.0001408169
mitigated,10mm,3,4.0,0.001,2.0,1,1,4.11,490.6417,0.0001542923
mitigated,30mm,1,4.0,0.001,2.0,1,1,4.025,603.4459,0.0001063139
mitigated,30mm,2,4.0,0.001,2.0,1,1,4.002,391.0488,0.0001377237
mitigated,30mm,3,4.0,0.001,2.0,1,1,4.017,452.5748,0.0001406656
mitigated,50mm,1,4.0,0.001,2.0,1,1,4.018,394.6527,0.0001148825
mitigated,50mm,2,4.0,0.001,2.0,1,1,4.079,158.1954,0.0001340711
mitigated,50mm,3,4.0,0.001,2.0,1,1,4.019,394.6792,0.0001148661
mitigated,10mm,1,4.0,0.0003,2.0,1,1,4.01,631.9028,0.0001006581
mitigated,10mm,2,4.0,0.0003,2.0,1,1,4.027,424.4809,0.0001288004
mitigated,10mm,3,4.0,0.0003,2.0,1,1,4.078,486.8534,0.0001345992
mitigated,30mm,1,4.0,0.0003,2.0,1,1,4.016,721.0734,0.0001095587
mitigated,30mm,2,4.0,0.0003,2.0,1,1,4.003,285.7939,0.0001444848
mitigated,30mm,3,4.0,0.0003,2.0,1,1,4.017,422.7502,0.0001309421
mitigated,50mm,1,4.0,0.0003,2.0,1,1,4.049,346.9692,0.0001358011
mitigated,50mm,2,4.0,0.0003,2.0,1,1,4.074,181.7053,0.0001452519
mitigated,50mm,3,4.0,0.0003,2.0,1,1,4.049,346.9991,0.0001357957
mitigated,10mm,1,4.0,0.0001,2.0,1,1,4.054,638.832,0.0001017553
mitigated,10mm,2,4.0,0.0001,2.0,1,1,4.04,462.5022,0.0001214782
mitigated,10mm,3,4.0,0.0001,2.0,1,1,4.103,505.6181,0.0001260781
mitigated,30mm,1,4.0,0.0001,2.0,1,1,4.008,764.5552,0.0001161086
mitigated,30mm,2,4.0,0.0001,2.0,1,1,4.003,249.0058,0.0001481123
mitigated,30mm,3,4.0,0.0001,2.0,1,1,4.009,417.3298,0.0001294732
mitigated,50mm,1,4.0,0.0001,2.0,1,1,4.052,335.9646,0.0001444721
mitigated,50mm,2,4.0,0.0001,2.0,1,1,4.13,184.2225,0.0001486694
mitigated,50mm,3,4.0,0.0001,2.0,1,1,4.052,336.0199,0.0001444727
mitigated,10mm,1,4.0,3e-05,2.0,1,1,4.012,559.5052,0.0001111574
mitigated,10mm,2,4.0,3e-05,2.0,1,1,4.032,863.4386,6.696592e-05
mitigated,10mm,3,4.0,3e-05,2.0,1,1,4.076,846.2862,8.303614e-05
mitigated,30mm,1,4.0,3e-05,2.0,1,1,4.016,927.3502,0.0001145223
mitigated,30mm,2,4.0,3e-05,2.0,1,1,4.0,220.7955,0.0001549229
mitigated,30mm,3,4.0,3e-05,2.0,1,1,4.009,693.6602,9.611495e-05
mitigated,50mm,1,4.0,3e-05,2.0,1,1,4.037,269.1047,0.00016508
mitigated,50mm,2,4.0,3e-05,2.0,1,1,4.009,306.6416,9.522772e-05
mitigated,50mm,3,4.0,3e-05,2.0,1,1,4.049,269.87,0.0001648816
mitigated,10mm,1,4.0,1e-05,2.0,1,1,4.013,436.7787,0.0001444645
mitigated,10mm,2,4.0,1e-05,2.0,4,1,5.84,1410.1392,4.101336e-05
mitigated,10mm,3,4.0,1e-05,2.0,3,1,4.004,1191.2144,5.882576e-05
mitigated,30mm,1,4.0,1e-05,2.0,1,1,4.011,951.5116,0.0001086462
mitigated,30mm,2,4.0,1e-05,2.0,1,1,4.006,192.1718,0.0001778379
mitigated,30mm,3,4.0,1e-05,2.0,2,1,4.418,1042.7868,6.228859e-05
mitigated,50mm,1,4.0,1e-05,2.0,1,1,4.027,189.8896,0.0002398174
mitigated,50mm,2,4.0,1e-05,2.0,4,1,4.001,500.5506,5.613271e-05
mitigated,50mm,3,4.0,1e-05,2.0,1,1,4.003,191.0466,0.0002386282
mitigated,10mm,1,6.0,0.01,2.0,1,1,6.027,256.3288,2.218052e-05
mitigated,10mm,2,6.0,0.01,2.0,1,1,6.021,290.3065,0.0002354532
mitigated,10mm,3,6.0,0.01,2.0,1,1,6.003,1155.704,0.0002213866
mitigated,30mm,1,6.0,0.01,2.0,1,1,6.001,33.0552,0.0001642997
mitigated,30mm,2,6.0,0.01,2.0,0,0,0.0,1.7018,0.0002049652
mitigated,30mm,3,6.0,0.01,2.0,1,1,6.049,1030.8095,0.0002189019
mitigated,50mm,1,6.0,0.01,2.0,1,1,6.051,251.3314,9.832622e-05
mitigated,50mm,2,6.0,0.01,2.0,1,1,6.032,83.7529,4.884314e-05
mitigated,50mm,3,6.0,0.01,2.0,1,1,6.052,251.3126,9.82854e-05
mitigated,10mm,1,6.0,0.003,2.0,1,1,6.025,416.7124,4.550608e-05
mitigated,10mm,2,6.0,0.003,2.0,1,1,6.029,351.6192,0.0001871863
mitigated,10mm,3,6.0,0.003,2.0,1,1,6.028,635.649,0.0001993935
mitigated,30mm,1,6.0,0.003,2.0,1,1,6.018,398.0109,0.0001265139
mitigated,30mm,2,6.0,0.003,2.0,1,1,6.005,540.029,0.0001553822
mitigated,30mm,3,6.0,0.003,2.0,1,1,6.01,625.6343,0.0001786711
mitigated,50mm,1,6.0,0.003,2.0,1,1,6.012,560.0489,8.373034e-05
mitigated,50mm,2,6.0,0.003,2.0,1,1,6.057,116.7712,9.231315e-05
mitigated,50mm,3,6.0,0.003,2.0,1,1,6.012,560.0736,8.370557e-05
mitigated,10mm,1,6.0,0.001,2.0,1,1,6.019,579.9126,8.584209e-05
mitigated,10mm,2,6.0,0.001,2.0,1,1,6.036,375.2342,0.0001408169
mitigated,10mm,3,6.0,0.001,2.0,1,1,6.029,490.6417,0.0001542923
mitigated,30mm,1,6.0,0.001,2.0,1,1,6.014,603.4459,0.0001063139
mitigated,30mm,2,6.0,0.001,2.0,1,1,6.001,391.0488,0.0001377237
mitigated,30mm,3,6.0,0.001,2.0,1,1,6.032,452.5748,0.0001406656
mitigated,50mm,1,6.0,0.001,2.0,1,1,6.022,394.6527,0.0001148825
mitigated,50mm,2,6.0,0.001,2.0,1,1,6.111,158.1954,0.0001340711
mitigated,50mm,3,6.0,0.001,2.0,1,1,6.023,394.6792,0.0001148661
mitigated,10mm,1,6.0,0.0003,2.0,1,1,6.012,631.9028,0.000100658
mitigated,10mm,2,6.0,0.0003,2.0,1,1,6.039,424.4809,0.0001288004
mitigated,10mm,3,6.0,0.0003,2.0,1,1,6.148,486.8534,0.0001345992
mitigated,30mm,1,6.0,0.0003,2.0,1,1,6.002,721.0734,0.0001095587
mitigated,30mm,2,6.0,0.0003,2.0,1,1,6.011,285.7939,0.0001444848
mitigated,30mm,3,6.0,0.0003,2.0,1,1,6.013,422.7502,0.0001309422
mitigated,50mm,1,6.0,0.0003,2.0,1,1,6.046,346.9692,0.0001358011
mitigated,50mm,2,6.0,0.0003,2.0,1,1,6.068,181.7053,0.0001452519
mitigated,50mm,3,6.0,0.0003,2.0,1,1,6.047,346.9991,0.0001357957
mitigated,10mm,1,6.0,0.0001,2.0,1,1,6.078,638.832,0.0001016943
mitigated,10mm,2,6.0,0.0001,2.0,1,1,6.016,462.5022,0.0001220206
mitigated,10mm,3,6.0,0.0001,2.0,1,1,6.044,505.6181,0.0001260958
mitigated,30mm,1,6.0,0.0001,2.0,1,1,6.024,764.5552,0.0001161032
mitigated,30mm,2,6.0,0.0001,2.0,1,1,6.012,244.4731,0.0001480468
mitigated,30mm,3,6.0,0.0001,2.0,1,1,6.03,417.3298,0.0001294875
mitigated,50mm,1,6.0,0.0001,2.0,1,1,6.041,335.9646,0.0001444689
mitigated,50mm,2,6.0,0.0001,2.0,1,1,6.153,184.2225,0.0001486651
mitigated,50mm,3,6.0,0.0001,2.0,1,1,6.042,336.0199,0.0001444695
mitigated,10mm,1,6.0,3e-05,2.0,1,1,6.01,559.5052,0.0001111405
mitigated,10mm,2,6.0,3e-05,2.0,1,1,6.035,863.4386,6.696728e-05
mitigated,10mm,3,6.0,3e-05,2.0,1,1,6.026,846.2862,8.30527e-05
mitigated,30mm,1,6.0,3e-05,2.0,1,1,6.028,927.3502,0.0001144788
mitigated,30mm,2,6.0,3e-05,2.0,1,1,6.001,219.1969,0.0001549989
mitigated,30mm,3,6.0,3e-05,2.0,1,1,6.013,693.6602,9.618841e-05
mitigated,50mm,1,6.0,3e-05,2.0,1,1,6.037,269.1047,0.0001650784
mitigated,50mm,2,6.0,3e-05,2.0,1,1,6.173,306.6416,9.522772e-05
mitigated,50mm,3,6.0,3e-05,2.0,1,1,6.055,269.87,0.0001648799
mitigated,10mm,1,6.0,1e-05,2.0,1,1,6.021,436.7787,0.0001444594
mitigated,10mm,2,6.0,1e-05,2.0,2,1,6.004,1409.1086,4.155838e-05
mitigated,10mm,3,6.0,1e-05,2.0,1,1,6.185,1190.8981,5.889514e-05
mitigated,30mm,1,6.0,1e-05,2.0,1,1,6.028,951.5116,0.0001085811
mitigated,30mm,2,6.0,1e-05,2.0,1,1,6.007,192.1718,0.0001778175
mitigated,30mm,3,6.0,1e-05,2.0,1,1,6.071,1034.7068,6.250345e-05
mitigated,50mm,1,6.0,1e-05,2.0,1,1,6.005,189.8896,0.000239836
mitigated,50mm,2,6.0,1e-05,2.0,1,1,6.058,488.6133,5.885656e-05
mitigated,50mm,3,6.0,1e-05,2.0,1,1,6.042,191.0466,0.0002386468
mitigated,10mm,1,8.0,0.01,2.0,1,1,8.013,256.3288,2.218052e-05
mitigated,10mm,2,8.0,0.01,2.0,1,1,8.048,290.3065,0.0002354532
mitigated,10mm,3,8.0,0.01,2.0,1,1,8.23,1155.704,0.0002213866
mitigated,30mm,1,8.0,0.01,2.0,1,1,8.016,33.0552,0.0001642997
mitigated,30mm,2,8.0,0.01,2.0,0,0,0.0,1.7018,0.0002049652
mitigated,30mm,3,8.0,0.01,2.0,1,1,8.099,1030.8095,0.0002189019
mitigated,50mm,1,8.0,0.01,2.0,1,1,8.035,251.3314,9.832622e-05
mitigated,50mm,2,8.0,0.01,2.0,1,1,8.019,83.7529,4.884314e-05
mitigated,50mm,3,8.0,0.01,2.0,1,1,8.035,251.3126,9.82854e-05
mitigated,10mm,1,8.0,0.003,2.0,1,1,8.002,416.7124,4.550608e-05
mitigated,10mm,2,8.0,0.003,2.0,1,1,8.041,351.6192,0.0001871863
mitigated,10mm,3,8.0,0.003,2.0,1,1,8.027,635.649,0.0001993935
mitigated,30mm,1,8.0,0.003,2.0,1,1,8.021,398.0109,0.0001265139
mitigated,30mm,2,8.0,0.003,2.0,1,1,8.005,540.029,0.0001553822
mitigated,30mm,3,8.0,0.003,2.0,1,1,8.059,625.6343,0.0001786711
mitigated,50mm,1,8.0,0.003,2.0,1,1,8.119,560.0489,8.373034e-05
mitigated,50mm,2,8.0,0.003,2.0,1,1,8.074,116.7712,9.231315e-05
mitigated,50mm,3,8.0,0.003,2.0,1,1,8.12,560.0736,8.370557e-05
mitigated,10mm,1,8.0,0.001,2.0,1,1,8.123,579.9126,8.584209e-05
mitigated,10mm,2,8.0,0.001,2.0,1,1,8.043,375.2342,0.0001408169
mitigated,10mm,3,8.0,0.001,2.0,1,1,8.032,490.6417,0.0001542923
mitigated,30mm,1,8.0,0.001,2.0,1,1,8.001,603.4459,0.0001063139
mitigated,30mm,2,8.0,0.001,2.0,1,1,8.007,391.0488,0.0001377237
mitigated,30mm,3,8.0,0.001,2.0,1,1,8.008,452.5748,0.0001406656
mitigated,50mm,1,8.0,0.001,2.0,1,1,8.065,394.6527,0.0001148825
mitigated,50mm,2,8.0,0.001,2.0,1,1,8.055,158.1954,0.0001340711
mitigated,50mm,3,8.0,0.001,2.0,1,1,8.066,394.6792,0.0001148661
mitigated,10mm,1,8.0,0.0003,2.0,1,1,8.032,631.9028,0.000100658
mitigated,10mm,2,8.0,0.0003,2.0,1,1,8.021,424.4809,0.0001288005
mitigated,10mm,3,8.0,0.0003,2.0,1,1,8.17,486.8534,0.0001345993
mitigated,30mm,1,8.0,0.0003,2.0,1,1,8.037,721.0734,0.0001095587
mitigated,30mm,2,8.0,0.0003,2.0,1,1,8.017,285.7939,0.0001444848
mitigated,30mm,3,8.0,0.0003,2.0,1,1,8.043,422.7502,0.0001309422
mitigated,50mm,1,8.0,0.0003,2.0,1,1,8.029,346.9692,0.0001358011
mitigated,50mm,2,8.0,0.0003,2.0,1,1,8.17,181.7053,0.0001452519
mitigated,50mm,3,8.0,0.0003,2.0,1,1,8.031,346.9991,0.0001357957
mitigated,10mm,1,8.0,0.0001,2.0,1,1,8.12,638.832,0.0001016769
mitigated,10mm,2,8.0,0.0001,2.0,1,1,8.002,462.5022,0.0001220794
mitigated,10mm,3,8.0,0.0001,2.0,1,1,8.073,505.6181,0.0001261083
mitigated,30mm,1,8.0,0.0001,2.0,1,1,8.004,764.5552,0.0001160998
mitigated,30mm,2,8.0,0.0001,2.0,1,1,8.005,244.4731,0.0001480323
mitigated,30mm,3,8.0,0.0001,2.0,1,1,8.032,417.3298,0.0001295006
mitigated,50mm,1,8.0,0.0001,2.0,1,1,8.01,335.9646,0.0001444653
mitigated,50mm,2,8.0,0.0001,2.0,1,1,8.092,184.2225,0.0001486615
mitigated,50mm,3,8.0,0.0001,2.0,1,1,8.013,336.0199,0.0001444659
mitigated,10mm,1,8.0,3e-05,2.0,1,1,8.09,559.5052,0.0001111277
mitigated,10mm,2,8.0,3e-05,2.0,1,1,8.001,863.4386,6.697485e-05
mitigated,10mm,3,8.0,3e-05,2.0,1,1,8.025,846.2862,8.307291e-05
mitigated,30mm,1,8.0,3e-05,2.0,1,1,8.047,927.3502,0.0001144516
mitigated,30mm,2,8.0,3e-05,2.0,1,1,8.008,219.1969,0.0001549839
mitigated,30mm,3,8.0,3e-05,2.0,1,1,8.01,693.6602,9.621729e-05
mitigated,50mm,1,8.0,3e-05,2.0,1,1,8.064,269.1047,0.0001650738
mitigated,50mm,2,8.0,3e-05,2.0,1,1,8.179,306.6416,9.522772e-05
mitigated,50mm,3,8.0,3e-05,2.0,1,1,8.003,269.87,0.0001648753
mitigated,10mm,1,8.0,1e-05,2.0,1,1,8.037,436.7787,0.0001444559
mitigated,10mm,2,8.0,1e-05,2.0,1,1,8.021,1400.4774,4.180318e-05
mitigated,10mm,3,8.0,1e-05,2.0,1,1,8.2,1190.8981,5.889745e-05
mitigated,30mm,1,8.0,1e-05,2.0,1,1,8.015,951.5116,0.0001085412
mitigated,30mm,2,8.0,1e-05,2.0,1,1,8.013,192.1718,0.000177845
mitigated,30mm,3,8.0,1e-05,2.0,1,1,8.026,1034.7068,6.250759e-05
mitigated,50mm,1,8.0,1e-05,2.0,1,1,8.044,189.8896,0.0002398474
mitigated,50mm,2,8.0,1e-05,2.0,1,1,8.243,488.6133,5.885656e-05
mitigated,50mm,3,8.0,1e-05,2.0,1,1,8.018,191.0466,0.0002386576
mitigated,10mm,1,10.0,0.01,2.0,1,1,10.1,256.3288,2.218052e-05
mitigated,10mm,2,10.0,0.01,2.0,1,1,10.052,290.3065,0.0002354532
mitigated,10mm,3,10.0,0.01,2.0,1,1,10.308,1155.704,0.0002213866
mitigated,30mm,1,10.0,0.01,2.0,1,1,10.014,33.0552,0.0001642997
mitigated,30mm,2,10.0,0.01,2.0,0,0,0.0,1.7018,0.0002049652
mitigated,30mm,3,10.0,0.01,2.0,1,1,10.012,1030.8095,0.0002189019
mitigated,50mm,1,10.0,0.01,2.0,1,1,10.057,251.3314,9.832622e-05
mitigated,50mm,2,10.0,0.01,2.0,1,1,10.005,83.7529,4.884314e-05
mitigated,50mm,3,10.0,0.01,2.0,1,1,10.057,251.3126,9.82854e-05
mitigated,10mm,1,10.0,0.003,2.0,1,1,10.053,416.7124,4.550608e-05
mitigated,10mm,2,10.0,0.003,2.0,1,1,10.04,351.6192,0.0001871863
mitigated,10mm,3,10.0,0.003,2.0,1,1,10.149,635.649,0.0001993935
mitigated,30mm,1,10.0,0.003,2.0,1,1,10.001,398.0109,0.0001265139
mitigated,30mm,2,10.0,0.003,2.0,1,1,10.004,540.029,0.0001553822
mitigated,30mm,3,10.0,0.003,2.0,1,1,10.023,625.6343,0.0001786711
mitigated,50mm,1,10.0,0.003,2.0,1,1,10.07,560.0489,8.373034e-05
mitigated,50mm,2,10.0,0.003,2.0,1,1,10.051,116.7712,9.231315e-05
mitigated,50mm,3,10.0,0.003,2.0,1,1,10.071,560.0736,8.370557e-05
mitigated,10mm,1,10.0,0.001,2.0,1,1,10.07,579.9126,8.584209e-05
mitigated,10mm,2,10.0,0.001,2.0,1,1,10.02,375.2342,0.0001408169
mitigated,10mm,3,10.0,0.001,2.0,1,1,10.157,490.6417,0.0001542923
mitigated,30mm,1,10.0,0.001,2.0,1,1,10.027,603.4459,0.0001063139
mitigated,30mm,2,10.0,0.001,2.0,1,1,10.027,391.0488,0.0001377237
mitigated,30mm,3,10.0,0.001,2.0,1,1,10.002,452.5748,0.0001406656
mitigated,50mm,1,10.0,0.001,2.0,1,1,10.067,394.6527,0.0001148825
mitigated,50mm,2,10.0,0.001,2.0,1,1,10.067,158.1954,0.0001340711
mitigated,50mm,3,10.0,0.001,2.0,1,1,10.069,394.6792,0.0001148661
mitigated,10mm,1,10.0,0.0003,2.0,1,1,10.029,631.9028,0.000100658
mitigated,10mm,2,10.0,0.0003,2.0,1,1,10.02,424.4809,0.0001288005
mitigated,10mm,3,10.0,0.0003,2.0,1,1,10.078,486.8534,0.0001345993
mitigated,30mm,1,10.0,0.0003,2.0,1,1,10.018,721.0734,0.0001095587
mitigated,30mm,2,10.0,0.0003,2.0,1,1,10.017,285.7939,0.0001444845
mitigated,30mm,3,10.0,0.0003,2.0,1,1,10.042,422.7502,0.0001309423
mitigated,50mm,1,10.0,0.0003,2.0,1,1,10.073,346.9692,0.0001358011
mitigated,50mm,2,10.0,0.0003,2.0,1,1,10.099,181.7053,0.0001452519
mitigated,50mm,3,10.0,0.0003,2.0,1,1,10.076,346.9991,0.0001357956
mitigated,10mm,1,10.0,0.0001,2.0,1,1,10.139,638.832,0.0001016421
mitigated,10mm,2,10.0,0.0001,2.0,1,1,10.077,462.5022,0.0001221574
mitigated,10mm,3,10.0,0.0001,2.0,1,1,10.01,505.6181,0.0001261122
mitigated,30mm,1,10.0,0.0001,2.0,1,1,10.004,764.5552,0.0001160978
mitigated,30mm,2,10.0,0.0001,2.0,1,1,10.001,244.4731,0.0001480306
mitigated,30mm,3,10.0,0.0001,2.0,1,1,10.006,417.3298,0.0001295126
mitigated,50mm,1,10.0,0.0001,2.0,1,1,10.067,335.9646,0.000144461
mitigated,50mm,2,10.0,0.0001,2.0,1,1,10.07,184.2225,0.0001486577
mitigated,50mm,3,10.0,0.0001,2.0,1,1,10.07,336.0199,0.0001444616
mitigated,10mm,1,10.0,3e-05,2.0,1,1,10.004,559.5052,0.0001111181
mitigated,10mm,2,10.0,3e-05,2.0,1,1,10.016,863.4386,6.698306e-05
mitigated,10mm,3,10.0,3e-05,2.0,1,1,10.116,846.2862,8.308365e-05
mitigated,30mm,1,10.0,3e-05,2.0,1,1,10.022,927.3502,0.0001144271
mitigated,30mm,2,10.0,3e-05,2.0,1,1,10.01,219.1969,0.0001550168
mitigated,30mm,3,10.0,3e-05,2.0,1,1,10.023,693.6602,9.62652e-05
mitigated,50mm,1,10.0,3e-05,2.0,1,1,10.06,269.1047,0.0001650685
mitigated,50mm,2,10.0,3e-05,2.0,1,1,10.241,306.6416,9.522772e-05
mitigated,50mm,3,10.0,3e-05,2.0,1,1,10.09,269.87,0.0001648697
mitigated,10mm,1,10.0,1e-05,2.0,1,1,10.005,436.7787,0.0001444531
mitigated,10mm,2,10.0,1e-05,2.0,1,1,10.042,1400.4774,4.179961e-05
mitigated,10mm,3,10.0,1e-05,2.0,1,1,10.296,1190.8981,5.889949e-05
mitigated,30mm,1,10.0,1e-05,2.0,1,1,10.015,951.5116,0.0001085086
mitigated,30mm,2,10.0,1e-05,2.0,1,1,10.004,192.1718,0.0001779092
mitigated,30mm,3,10.0,1e-05,2.0,1,1,10.05,1034.7068,6.251184e-05
mitigated,50mm,1,10.0,1e-05,2.0,1,1,10.01,189.8896,0.0002398548
mitigated,50mm,2,10.0,1e-05,2.0,1,1,10.197,488.6133,5.885656e-05
mitigated,50mm,3,10.0,1e-05,2.0,1,1,10.072,191.0466,0.000238665
mitigated,10mm,1,12.0,0.01,2.0,1,1,12.112,256.3288,2.218052e-05
mitigated,10mm,2,12.0,0.01,2.0,1,1,12.034,290.3065,0.0002354532
mitigated,10mm,3,12.0,0.01,2.0,1,1,12.339,1155.704,0.0002213866
mitigated,30mm,1,12.0,0.01,2.0,1,1,12.045,33.0552,0.0001642997
mitigated,30mm,2,12.0,0.01,2.0,0,0,0.0,1.7018,0.0002049652
mitigated,30mm,3,12.0,0.01,2.0,1,1,12.017,1030.8095,0.0002189019
mitigated,50mm,1,12.0,0.01,2.0,1,1,12.074,251.3314,9.832622e-05
mitigated,50mm,2,12.0,0.01,2.0,1,1,12.025,83.7529,4.884314e-05
mitigated,50mm,3,12.0,0.01,2.0,1,1,12.074,251.3126,9.82854e-05
mitigated,10mm,1,12.0,0.003,2.0,1,1,12.109,416.7124,4.550608e-05
mitigated,10mm,2,12.0,0.003,2.0,1,1,12.008,351.6192,0.0001871863
mitigated,10mm,3,12.0,0.003,2.0,1,1,12.02,635.649,0.0001993935
mitigated,30mm,1,12.0,0.003,2.0,1,1,12.002,398.0109,0.0001265139
mitigated,30mm,2,12.0,0.003,2.0,1,1,12.01,540.029,0.0001553822
mitigated,30mm,3,12.0,0.003,2.0,1,1,12.041,625.6343,0.0001786711
mitigated,50mm,1,12.0,0.003,2.0,1,1,12.018,560.0489,8.373034e-05
mitigated,50mm,2,12.0,0.003,2.0,1,1,12.029,116.7712,9.231315e-05
mitigated,50mm,3,12.0,0.003,2.0,1,1,12.02,560.0736,8.370557e-05
mitigated,10mm,1,12.0,0.001,2.0,1,1,12.099,579.9126,8.584209e-05
mitigated,10mm,2,12.0,0.001,2.0,1,1,12.033,375.2342,0.0001408169
mitigated,10mm,3,12.0,0.001,2.0,1,1,12.041,490.6417,0.0001542923
mitigated,30mm,1,12.0,0.001,2.0,1,1,12.011,603.4459,0.0001063139
mitigated,30mm,2,12.0,0.001,2.0,1,1,12.001,391.0488,0.0001377237
mitigated,30mm,3,12.0,0.001,2.0,1,1,12.017,452.5748,0.0001406656
mitigated,50mm,1,12.0,0.001,2.0,1,1,12.082,394.6527,0.0001148825
mitigated,50mm,2,12.0,0.001,2.0,1,1,12.02,158.1954,0.0001340711
mitigated,50mm,3,12.0,0.001,2.0,1,1,12.085,394.6792,0.0001148661
mitigated,10mm,1,12.0,0.0003,2.0,1,1,12.134,631.9028,0.000100658
mitigated,10mm,2,12.0,0.0003,2.0,1,1,12.032,424.4809,0.0001288005
mitigated,10mm,3,12.0,0.0003,2.0,1,1,12.195,486.8534,0.0001345993
